Sentence,Neutral (N) / Hostile (H)
main to Uzma Bukhari ko daad dainey per majboor hogai jab woh behoshi ki haalat mein bhi yeh kehti rahen ke video samnay se banaao,H
tum jesy jahil ke sath rehney se acha hai ke main akeli hi rahun,H
Iran ki Israel ko dhamki,H
"abi check ki uski profile, lesbo lag rahi hai qasam se, yeh aur is ke sath jo mard jaisi aurat hai",H
"horn mut bajayen, 54 islami mumalik ka ittehad so raha hai",H
arayen jahan bhi nazar aye maar do,H
Nalaiq aur nakam wazeer e azam ke faisley se kashmir cause ko nuqsan nahi pohunchaney dein gey,H
kashmiriyon per bharti muzaalim ka pardah phir chaak ho gaya hai,H
main pakistan criclet team ke itna bura khelney pe un per lanat bhejta hun,H
pakistan cricket team se acha to blind cricket team khel leti,H
Agar beti paida hui to main tumhen maar dunga,H
Pakistani film industry mein fahashi bohut barh gai hai,H
Media industry mein career bananey se izzat khatam hojati hai,H
gorilla har waqt ghussy mein isliye reht hai kyun k 10 hazaar saal baad wo habshi bn jaye ga ,H
Uskey bahar ke mulk bohut si aurton se taluqaat hein,H
Tum hamesha dusron pe tanqeed hi kartey rehtey ho,H
Pakistan dehshat gard tayar karta hai or unko madad faraham kerta hai,H
Dollar ka rate control karna ab hakumat ke hath me nahi,H
India aur Pakistan sadiyon se kashmir ke masley per larr rahey hein,H
Woh mujhe kafi mahinon se qatal ki dhamkiyan de raha hai,H
"Tm raashi ho, paisey khaa ke kaam kartey ho",H
sara police department hi rishwat le ker kam kerta hai,H
wo women card ke balbootey per aurton ko badnam ker rahi hai,H
Tum ne mera facebook account hack kr ke insani haqooq ki khilaf warzi ki hai,H
"kutti ke bachay mein agar himmat hai to hamla ker ke dikhaye, uska moun torr dein gey",H
Us ne dhokey or chori sey meri kitab ki copy ley k leak ker di hai,H
usey maar dena chahiye kyun k woh hum jins parast hai,H
mulk bhar mein jashan e azadi dhoom dham se manaya gaya,N
"dunya mein nasal parasti, fascism aur hindu baladasti ki koi jagah nahi hai",H
50 saal mein pehly bar salamti councel ka ijlaas kashmir per ho raha hai,N
Usne apni kitab me mere ooper jhootey ilzam lga ke muje badnam kerney ki koshish ki hai,H
"Pakistan to khud kabhi america se madad mangta hai, kabhi china se bheek mangta hai, wo apki kaya madad kary ga",H
"Kashmiri logon ki apni tehreek e azadi hai, hum pakistan ke paas bheek mangney nahi jaty",N
"Jammu kashmir karbala banta ja raha hai, modi ki yazeed wali soch ko dafan kerna hoga",H
Dusron ki gheebat kerna aur unpe tohmat lagana uski gandi aadat hai,H
Sb such social media per aaney ke baad wo mujhe beyhooda dhamkiyan de raha hai,H
usne badla lene ke liye mery ooper zina ka jhoota ilzam lagaya,H
"Unki larai ab social media per zor pakarti ja rahi hai, wo eik dosry ko gaaliyan dety rehtey hein",H
Kitab mein ghalat aur beghair proof ke baten likhney per writer per case ker dena chahiye,H
Woh court mein quran pe hath rakh ke jhooti qasam khaa ker gawahi de gaya,H
Usne meri pictures social media per mere se puchey beghair daal ke acha ni kiya,H
Aslam ko internet banking account hack honey ki wajah se croron ka nuqsan uthana para,N
Prime Minister ne dam bananey k liye logon se chandey ki request ki hai,N
Har cheez per tax laga ke is hakumat ne logon ka jeena mushkil ker diya hai,H
Woh customers se har cheez ke zyada paisy wasool kerta hai,H
Tumhari kamai haram hai isliye tumhari duain qabool nahi hongi,H
rajpoot aqal se paidal hotey hein,H
Halaal ki kamai me barkat hoti hai,N
Jis ghar me kuttey hon wahan Allah ki rehmat nazil nahi hoti,N
Barish ka hona Allah ki rehmat ki nishani hai,N
Tum manhoos ho jahan jatey ho wahin museebaten aa jati hein,H
Allah insaaf kerney walon ko pasand kerta hai,N
Tum ne uska dil tora hai tumhen uski aah lagey gi,H
Woh itna bad ikhlaq hai ke uske sath naiki krna bhi galey per jata hai,H
Kisi ki rozi roti cheen lena achi bat nahi,N
Usey apney baap ke paisey pe bohut takabbur hai,H
Usne chowk pe tamasha laga ke logon ko galiyan dein,H
Mujhe to apne puraney dost saanp ki tarah lagtey hein,H
Aaj kal nokri hasil karney ke liye bari sifarish ki zarurat perti hai,N
Mehengai ne ghareeb awam ka guzara kerna mohaal kr diya hai,N
Dusrey mulkon ne Pakistan ki madad kerney k liye haami bhar li hai,N
Bahar ke mulk parhai ke bahaney ja ke usne sharab noshi shuru ker di hai,N
Sharab noshi aik lanat hai,N
Usne juwey mein lag ke baap ka sara paisa barbaad kerdiya hai,H
Islam mein jin kamon se mana kiya gaya hai unhi mein insan ki bhlai hai,N
Tumhari jesi harkaten hein tum mujhe shetan k bhai lagtey ho,H
"bilawajah  bhutto ko pakitani siyasat ka kuch pata nahi hai, wo hadsati torr per party ka head ban gaya hai",H
"Police waley raashi hein, choron se paisey ley k unhen chor detey hein",H
"Is mulk ka qanoon kisi qabil nahi, sb chor khuley aam phir rahey hein",H
Usey kamai se ziyada paisa honey pe jail bheja gaya,H
Yeh hakumat 5 saal mukamal nahi ker paye gi,H
"maqbooza kashmir jahannum ban chuka hai, soortehal sangeen hai",H
waadi jail khany mein badal chuki hai,N
waadi mein logon ke moun band kara diye gaye hein,H
kashmir ke bary mein media ki reports gumrahkun hein,H
"bharat ko bari sharmindagi uthana pari, puri dunya mein moun kaala hua",H
corrupt league ki tarjuman jhoot aur propaganda ker ke apni nokri barqarar rakhey huay hein,H
mulk ko qarzon ki daldal mein dhakeilney waley kis moun se qarzon mein izafey ki bat kartey hein?,H
aap ke arstoo mulk ko 31 hazar arab ke qarzon ki daldal mein chor ker gaye,H
aap ki misali hakumat 19 arab dollar ka tijarti khasara chor ker gai,H
"aap ka aakhri budget khasara record 2.26 arab tha, kuch yaad aaya?",H
Roti ki qeemat per propaganda karney walon ki apni rotiyan chori ke maal se chal rahi hein,H
tareekh ne dekha ke khud ko qanoon se baalater samajhney waley arbon ki corruption per jail ki salakhon ke peechey hein,H
Tehreek e insaf ki hakumat ne qoumi choron ko unke asal muqam jail mein pohunchaya hai,H
aaj adaaltein aur quomi idaarey azad aur khud mukhtar hein,N
America aur russia se le ker china malaysia aur turkey tak aqwaam pakistan ki qadar ker rahi hein,N
government ki eik saala report dekh ker opposition moun dekhti reh jaye gi,H
"modi insaniyat ke naam per dhabba hai, wo hamesha nafrat aur logon ko taqseem kernay ki bat kerta hai",H
behen tum to bohut bura hansti ho,H
Tum khabees nahi kutti aurat ho,H
"khabees aurat sharam ker le, kabhi to such bol diya ker",H
"lahore, gujranwala aur hafizabad mein aaj barish se mosam khushgawar ho gaya",N
"jesi bilawal ki harkaten hein, usey jootey pernay chahiyen",H
sharam aur haya ki baten tum per suit nahi karten,H
"zameen mili banjar, mehboob mila kanjer",H
bharti wazeer e azam narendra modi urf gashti maa ka bacha pakistan ko jung ki dhamkiyan deney se baaz na aaya,H
Tu jb paida hui tou doctor ne kaha tha pata nai kia paida ho gaya hai,H
baji aap apna moun band hi rakho to acha hai,H
bewakoof larki ne apna mobile hotel mein gum ker diya hai,H
kitna khaye gi tu moti kahin ki,H
narendra modi dunya ka neya hitler hai,H
"sharam ker kutti, har waqt jhoot bolti rehti hai ",H
"nawaz eik laanti shakhs hai, sara mulk loot ker khaa gaya hai aur abi b akar raha hai",H
indian news channels k mutabik har kashmiri musalman eik dehshat gard samjha jata hai,H
"hum ne master plan per kam shuru ker diya hai, ta'k voton aur noton ke liye nahi, awam ki sahulat ke liay development ho",N
"nawaz sharif ka sb se bara zulm pakistani awam ko fouj ke khilaf kerna tha, tareekh kabhi maaf nahi kary gi usey",H
opposition parties ke leaders ko giraftaar kernay wala pagalpan kab khatam hoga?,H
kashmiriyon ki halat pinjiron mein qaid janwaron se kisi soorat kam nahi hai,H
mujhe na sirf qaid ker diya gaya hai balkeh jaan se maar deney ki dhamkiyan bhi mil rahi hein,H
blue color ka dress tum per bohut acha lagta hai,N
hum ne aaj iqbal park mein sair ki aur wapsi per dinner bhi kiya,N
"main apni job se bohut khush hun, meri company workers ka bohut khayal kerti hai",N
kiya haseen ittefaq hai ke jis raftaar se Noon Legue ke asasey barh rahy thay usi raftaar se pakistan ke qarzey bhi,H
punjab ki taraqqi ki speed kam aur shahbaz sharif ke khandaan ki taraqqi ki speed zayada thi,H
is waqt dunya mein sb se bara don america hai aur trump us gang ka head hai,H
bharat ke kehney per kashmir k liye awaz uthany waley twitter accounts ban kerney per pakistan ne twitter america se rabta kerney ka faisla ker liya,N
hindu larki ko pasand ki shadi kerney per sar e aam tashaddud ka nishana bnaya gaya,H
bharat ka jangi janoon pury khittey ko tabah ker de ga,H
"jb qarza aata hai to abba khata hai, jb zayada qarza aata hai to abba zayada khata hai",H
tawaifon ke shehar mein dakhley per pabandi honi chahiye,H
"sary morning shows mein naach ganey aur dance hi chal raha hota hai, ye fahashi phela rahy hein",H
Sahir kanjar aur uski behen pakistan mein morning shows ke zariye fahashi phelany ke zimmydaar hein,H
safai nisf emaan hai,N
har kam kernay se pehley bismillah parhney se barkat hoti hai,N
"pata nahi kon fazul log ye ghatiya programs dekhtey hein, ye dekhna sirf waqt ka zeya hai",H
is hum jins parast ko drama industry se nikal dena chahey,H
"morning shows ko nahi, us mein janey waly bachon ke kanjar maa baap ko band kr dena chahiye",H
is shamsi tawanai se chalney waley khusrey ko ban ker dena chahiye,H
"intehai sharamnaak video hai, Allah ki laanat ho in khabeeson per",H
"apne aap ko naik aur soofi zahir kerna bohut hi afsosnaak amal hai, tumhen sharam aani chahiye",H
"tum kal se kahan marey huay ho, eik kam nahi kiya tum ne kal se",H
"ajeeb fraud insan ho tum, tum ne video mein ghalt ilzam lgaye hein",H
Tumhary is attitude ki wajah se tumhen sab chorh detey hein aur tum akeli reh jaogi,H
"plastic shopper per pabandi aur paper bag na honay ki wajah se sabzi hath mein pakar kr le jani per rahi hai, kia kamal ka step uthaya hai intezamiya ne",H
"sarey shows ko band kro, kia kanjar khana bana ke rakha huwa hai",H
Allah ka wasta hai ban kro is kuttay ke show ko,H
lanat ho is kameeney per,H
eik number ka harami hai ye banda,H
ye donon behen bhai hein hi koi haram ki nasal,H
Quran mein hamarey liye zindagi ke har mamley ke barey mein rehnumai milti hai,N
"kafir kafir, shia kafir",H
vote leney ke liye kiya kiya dramey kertay hein log,H
qadyani aur shia donon hi shirk kertay hein,H
pakistan dunya ka wahid mulk hai jis mein log zardari aur bilawal jese logon ko leader mantey hein,H
Paisy aur siyaset k liye insan kutta bhi ban jata hai aur yeh to us sy bhi barh gaye hein,H
Sirf nafrat paida kerna aur tankeed kerna hi achey musalmaan honay ka saboot hy kya?,H
"bharat per fascist hinduoun ne german naziyon ki tarah qabza ker liya hai, maqbooza kashmir mein mehsoor 90 lakh kashmiriyon ki zindagiyan khatrey mein hein",H
hakumat 1 saal ki ho gai hai lekin abhi tak chalney ka naam nahi le rahi,H
5 crore pakistani dimaghi bemariyon ka shikar hein,N
dunya nasal parast modi ke hath mein atomi hathyaron ka notice le,H
maqbooza kashmir ka bharti muhasirah qabil e muzammat hai,H
aainda saal ka safar tameer e pakistan ka safar hoga,N
dubai ke hotel mein insanon ki jagah robots logon ko khana dein gy,N
bharti aabi dehshat gardi ki wajah se daryaon mein selabi soortehaal per foj ko talab ker liya gaya,H
PTI hakumat ka eik saal awam ke liye bhayanak khuwab hai,H
"modi hitler ke naqsh e qadam per chal nikla hai, usey patta dalney ki zrurat hai",H
naziyon ki tarah bharat per hindu fascist qayadat ne qabza jama liya hai,H
"bharat badtareen soortehaal mein ghir chuka, aisy iqdamaat se pura khitta khatrey se dochaar hai",H
kashmiriyon ke muhasirey se bara insani almiya janam le sakta hai,H
BBC k mutabik modi ne bharat k wafaqi dhanchey ko kaari zarb lagai hai,H
maqbooza waadi mein bharat ne insaniyat ke tazleel ke tamam hadein paar ker di hein,H
Imran ne pura saal awam per azab dhaaney per laga diya hai,H
laakhon logon se rozgar cheen liya gaya aur berozgari bohut zayada barh gayi hai,H
hakumat ki eik saala karkardigi zero hai,H
"ye hein hi jhootey, aapas mein such na bolney waley qoum se kesay such bol saktey hein",H
tum mujhe bohut piyari lagti ho,N
"fascist modi ke paas atomi hathyaar hein, dunya notice le",H
zaalim betay ne baap ki laash ke 8 tukrey ker ke bartanon mein chupa diye,H
Turk actress ne jung ki himayat kernay per priyanka chopra ko khari khari suna dein,H
Pak foj kisi bhi qisam ki soortehaal se nimatney ke liye tayyar hai,N
Imran Khan u-turn ka master hai,H
"Imran Khan jo bhi faisla kerta hai, kuch dein mein hi us se u-turn le leta hai",H
imran khan ka naam ab se u-turn khan hai,H
yeh qoum chund rupey chori kernay waley masoom ko to maar deti hai magar arbon kharbon lootney walon ko sher kehti hai,H
in donon haramzadon ko phansi ki saza deni chahiye aur misaal bana dena chahiye,H
meri choti beti ne apna jaib kharch aur eidi bhi dam fund mein de di,N
"chotey bachey ghalti ker dety hein, lekin in choti choti ghaltiyon per unhen jaan se maar dena unke darindey honey ka saboot hai",H
sirf eik akela ghaddar hi sb kuch tabah kernay ke liye kafi hai,N
main eik musalmaan hun aur main jhoot nahi bolti,N
kashmir k musalmanon ke liye zameen tung ker di gai hai,H
"dunya mein pyar mohabbat se rehna chahiye, tb hi hum isey jannat bana saktey hein",N
jo jo in khabees logon ko vote dey ga os pe Allah ki laanat,H
sheikh dost hony se acha hai insan ka koi dost hi na ho,H
Florida waley sarey hi dhokeybaaz hein,H
Yeh to sarey emaan farosh hein,H
paani chori ki saza 10 saal hogi aur sath 10 lakh jurmana bhi hoga,N
pension lenay waley bazurg shehri pension na milney ki wajah se eid ki khushiyon se mehroom reh gaye,H
bank intezamiya ne aaj ghreeb bazurgon ko pensions denay se inkaar ker diya,H
"Meri tamam ummat ko maaf kiya jaye ga siwaye elaniya gunah kernay walon k, yani woh jo gunah ker k logon ko batatey hein",N
muhajir community walon ko dhamkiyan di ja rahi hein,H
MQM eik dehshatgard jammat hai,H
pakistan ka qoumi khel hockey hai,N
Azad Kashmir ke sabiq sadar aur tehreek azadi e kashmir k baani sardar abdul qayyum inteqaal ker gaye,N
"lahore mein gandagi bohut zyada barh gai hai, akser jaghon per saans lenay mein bhi dushwari hoti hai",N
airport intezamiya ki na-ehli ki wajah se sara intezam darham burham hai,H
"karachi kabhi roshniyon ka shehar hota tha, aaj tareekiyon mein dooba huwa hai",N
wo canada wala dalla sirf aur sirf inteshar phelaney pakistan aata hai,H
wo dalla sirf paisey kamaney ke liye islam ko istemaal kerta hai aur paisey kama ker wapis dafa ho jata hai,H
New Jersey mein aaj tez toofani barish ki peshangoi hai aur logon ko mehfooz muqamat pe rehney ki hidayat ki gai hai,N
afsos ki bat hai ke pakistan mein aaj bhi bari tadaad mein log bunyadi insani haqooq se mehroom hein,H
karachi ke area liyari mein eik janooni group ka geo news ke reporter per tashaddud,H
pakistan mein lakhon bachey polio ke qatron se mehroom hein,N
K-Ekectric waley kuttey awam per reham kren aur current lagney se masoom logon ki amwaat ka notice le,H
molviyon ke ehtijaj ki wajah se multan road mukammal tor per band hai aur logon ko sakht pareshani ka samna hai,H
mamooli jhagrey per usne apne bhai ko firing ker ke qatal ker diya,H
mushkil waqt mein insan hi insan ke kaam aata hai,N
mqm per jhootey ilzamaat lganey ka silsila band kiya jaye werna zabardast ehtijaj hoga,H
un zalimon ne bachey ko qatal kiya aur malir k naaley mein laash phenk di,H
hospital mein bijli ki bandish ki wajah se mareezon aur unke sath aaney walon ko shadeed garmi aur rozay mein pareshani uthani per rahi hai,H
Shehri ilaqon mein badtareen loadshedding ke khilaf shehri sarapa ehttijaj hein,H
jis ne beghair wajah ke ramzan ka eik roza bhi chora to woh sari umer bhi rozy rakhey to uski talafi nahi ker sakta,N
yateemon ka maal khaney waley haqeeqat mein apney paiton mein aag bhartey hein aur jald jahannum mein hongey,N
2 dinon mein 50 logon ki halaakt ka zimmeydar k-electric hai,H
milawat kernay walon ke liye akhirat mein dardnaak azab hoga,N
MQM ka nisar ali khan ke khilaf kal karachi press club per ehtijaj ka elaan,H
PTI karachi k sadar ali zaidi ka MQM per pabandi ka mutalibah,H
shadiyon mein sar e aam firing k waqeat per aala hukkam aur media khamosh hai,H
"awam ne 2 dakoun ko pakar ke zinda jala diya, 1 halaak aur 1 shadeed zakhmi ho gya",H
aala hukkam eid mananey mein masroof hein aur awam pareshan hai,H
mqm ko mulk mein phailney se rokney ke liye aaj tak propaganda jaari hai,H
hartaal ki wajah se schools ki bandish per parents sakht pareshan hein,H
naye tax lganey per kal taajir baradari ne kal shutter down hartal ki call di hai,N
matric mein achy marks se pass honey per main ne usey cycle ka tohfa diya hai,N
maqbooza kashmir per sadar trump ka musalihana kirdaar khush aaind hai,N
"jaali hukmaranon ka youm e hisab qareeb, midterm election har soorat hongey",H
general bajwah afghan aman amal mein markazi kirdaar adaa ker rahy hein,N
bharat ikhlaaqi maidaan mein jung buri tarah haar chuka hai,H
"mohammad amir eik khudgarz cricketer hai, usne zayada paisey kamaney ke liye test cricket chor di hai",H
general bajwah khittey ke ahem tareen foji leader hein,N
mehwish hayat ka sakhar mein 5 school tameer kernay ka elaan,N
doctor zakir nayak per nasal parastana beyaan deney per pabandi laga di gai,H
bharat ne zakir nayak per apne followers mein dushmani ka taasur ubharney aur mukhtalif mazhabi groupon ke darmiyan nafrat phelaney ka ilzam lgatey huye pabandi laga di thi,H
israel ne koi ghalat harkat kernay ki koshish ki to usey nishan e ibrat bana dein gy,H
Makkah aur Medina musalmanon ke muqaddas shehar hein,N
"tumhari yahan hum sb k beech rehnay ki auqaat hi nahi hai, tum dafa ho jaon yahan se",H
"bharti fouj khashmiriyon per lathiyan, goliyan aur aansu gas barsa rahi hai",H
modi se aman ki umeed rakhney waley ahmeq hein,H
karachi mein safai na honey se wabai amraaz ka sonami aa gaya hai,H
"kisi ne aaj tak karachi ki taraqqi ke liye kuch nahi kiya, jo bhi aaya usne ne sirf loot maar ki hai",H
kashmir mein khawateen aur larkiyon ki behurmati ki ja rahi hai,H
hamarey kath putli wazeer e azam mein kashmir ka muqadmah larrney ki salahiyat nahi hai,H
ikhteyaraat ke ghalat istemaal per hazir service major ko umer qaid suna di gai,H
shehar mein mojood gandagi ne bemariyon mein izafa ker diya hai,H
liyari mein 2 doctors ko gangwar aur taliban ke naam se bhattey ki parchiyan mili hein,H
wasim akhtar shehar ki barbadi ke zimmmeydaar hein,H
"FIA afsaraan money laundering mulzimaan ko tahaffuz denay lagey, baramad raqam bhi ghaib",H
tumhari fazul bakwas se merey ser mein dard ho gaya hai,H
tumharey jesay kalay habshi ko koi apni beti ka rishtah nahi de ga,H
